schema_context,column,check,check_number,failure_case,index
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1540
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1597
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1539
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-21,1510
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1509
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1508
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1507
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1506
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1505
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1504
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1503
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1502
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1501
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1500
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1499
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1498
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1497
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1496
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1495
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1494
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1493
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1492
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1491
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1490
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1489
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1488
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1487
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1486
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-21,1511
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-21,1512
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-21,1513
